model,chi2,dof,chi2_per_dof,relative_L2_residual,weighted_RMS_residual
k=1,2.4816904460422498,5,0.49633808920844996,0.3276728862706519,0.4067505743525754
k=2,2.631883004604431e-14,-3,,2.837793177687966e-08,4.1887810514949184e-08
delta,2.4816904460422236,8,,,
