eps_bin,q2_bin,delta_odd,delta_err,n
0.5,0.65,-0.0025932575304209,0.0065666475495462,1.0
0.5,0.9500000000000001,0.0025554846840343975,0.006078453543453739,2.0
0.5,1.25,-0.0118088838381343,0.0074238144418126,1.0
0.5,1.6,-0.014019415905573259,0.004702614549131234,2.0
0.5,2.0,-0.0066082406175967745,0.00635073130056341,2.0
0.6000000000000001,1.6,-0.004468833509545211,0.0037852729323339567,3.0
0.7,1.25,0.00019452435637928154,0.003193582463172627,2.0
0.7,1.6,0.004419445560466,0.0047771614455205,1.0
0.8,0.9500000000000001,0.0009344219152739517,0.0015442477182763478,6.0
0.8,1.25,0.0009098623094958502,0.003381460457168566,2.0
0.8,1.6,0.002536079246370846,0.00483533246349207,2.0
0.8999999999999999,0.35,0.0012932128079613588,0.0009200664044351142,4.0
0.8999999999999999,0.65,0.0026248306691290992,0.0015282430969972708,5.0
0.8999999999999999,0.9500000000000001,0.0005921244129226281,0.0018873200689470619,3.0
0.8999999999999999,1.6,0.0005653313678517373,0.0037751353372003876,2.0
