epsilon,Q2,R,stat_err,syst_err,exp_id,norm_group
0.452,1.510,1.0332,0.0112,0.0032,VEPP3,VEPP3_SCALE
0.932,0.298,1.0002,0.0012,0.0020,VEPP3,VEPP3_SCALE
0.272,0.976,1.0174,0.0049,0.0016,VEPP3,VEPP3_SCALE
0.404,0.830,1.0133,0.0037,0.0008,VEPP3,VEPP3_SCALE
